Year,2035_RenewableShare,2035_NonRenewableShare,2035_TotalImpact,2045_RenewableShare,2045_NonRenewableShare,2045_TotalImpact,2055_RenewableShare,2055_NonRenewableShare,2055_TotalImpact,2065_RenewableShare,2065_NonRenewableShare,2065_TotalImpact,2075_RenewableShare,2075_NonRenewableShare,2075_TotalImpact
2036,0.8,0.19999999999999996,0.3448549538774248,0.5562627993481034,0.4437372006518966,0.6658188876325836,0.4569624583417751,0.5430375416582249,0.7965819717550559,0.407312287838611,0.5926877121613889,0.8619635138162917,0.3775221855367125,0.6224778144632874,0.9011924390530334
2037,0.8,0.19999999999999996,0.3448549538774248,0.5833447105316475,0.4166552894683525,0.6301562283264548,0.47501706579747116,0.5249829342025288,0.7728068655509699,0.42085324343038305,0.5791467565696169,0.8441321841632273,0.38835495001013015,0.6116450499898698,0.8869273753305819
2038,0.8,0.19999999999999996,0.3448549538774248,0.6104266217151916,0.3895733782848084,0.594493569020326,0.49307167325316725,0.5069283267468327,0.7490317593468842,0.4343941990221551,0.5656058009778449,0.826300854510163,0.3991877144835478,0.6008122855164522,0.8726623116081303
2039,0.8,0.19999999999999996,0.3448549538774248,0.6375085328987355,0.36249146710126445,0.5588309097141975,0.5111262807088632,0.48887371929113677,0.7252566531427983,0.4479351546139271,0.5520648453860729,0.8084695248570988,0.41002047895696536,0.5899795210430346,0.858397247885679
2040,0.8,0.19999999999999996,0.3448549538774248,0.6645904440822796,0.33540955591772037,0.5231682504080687,0.5291808881645593,0.4708191118354407,0.7014815469387123,0.4614761102056991,0.5385238897943009,0.7906381952040343,0.420853243430383,0.579146756569617,0.8441321841632274
2041,0.8,0.19999999999999996,0.3448549538774248,0.6916723552658237,0.3083276447341763,0.4875055911019399,0.5472354956202554,0.4527645043797446,0.6777064407346265,0.47501706579747116,0.5249829342025288,0.7728068655509699,0.43168600790380063,0.5683139920961994,0.829867120440776
2042,0.8,0.19999999999999996,0.3448549538774248,0.7187542664493678,0.2812457335506322,0.45184293179581114,0.5652901030759514,0.4347098969240486,0.6539313345305408,0.4885580213892432,0.5114419786107568,0.7549755358979057,0.44251877237721826,0.5574812276227817,0.8156020567183245
2043,0.8,0.19999999999999996,0.3448549538774248,0.7458361776329119,0.2541638223670881,0.41618027248968237,0.5833447105316475,0.4166552894683525,0.6301562283264548,0.5020989769810152,0.49790102301898476,0.7371442062448412,0.4533515368506359,0.5466484631493641,0.8013369929958729
2044,0.8,0.19999999999999996,0.3448549538774248,0.772918088816456,0.22708191118354404,0.3805176131835536,0.6013993179873436,0.3986006820126564,0.606381122122369,0.5156399325727873,0.4843600674272127,0.7193128765917768,0.4641843013240535,0.5358156986759465,0.7870719292734214
2045,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6194539254430396,0.38054607455696043,0.5826060159182832,0.5291808881645593,0.4708191118354407,0.7014815469387123,0.47501706579747116,0.5249829342025288,0.7728068655509699
2046,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6375085328987355,0.36249146710126445,0.5588309097141975,0.5427218437563314,0.45727815624366863,0.683650217285648,0.4858498302708888,0.5141501697291112,0.7585418018285185
2047,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6555631403544316,0.34443685964556836,0.5350558035101116,0.5562627993481034,0.4437372006518966,0.6658188876325836,0.4966825947443064,0.5033174052556936,0.7442767381060669
2048,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6736177478101277,0.32638225218987227,0.5112806973060257,0.5698037549398755,0.43019624506012455,0.6479875579795192,0.5075153592177241,0.49248464078227594,0.7300116743836155
2049,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.6916723552658237,0.3083276447341763,0.4875055911019399,0.5833447105316475,0.4166552894683525,0.6301562283264548,0.5183481236911417,0.4816518763088583,0.7157466106611639
2050,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7097269627215198,0.2902730372784802,0.463730484897854,0.5968856661234195,0.40311433387658047,0.6123248986733905,0.5291808881645593,0.4708191118354407,0.7014815469387123
2051,0.8,0.19999999999999996,0.3448549538774248,0.8,0.19999999999999996,0.3448549538774248,0.7277815701772159,0.2722184298227841,0.43995537869376805,0.6104266217151916,0.3895733782848084,0.594493569020326,0.540013652637977,0.45998634736202304,0.6872164832162608
